"id","name","code","created_at","updated_at"
1,System administrator,ROLE_ADMIN,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
2,HR department employee,ROLE_MODERATOR,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
3,Company employee,ROLE_USER,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
4,HR department lead,ROLE_SUPER_MODERATOR,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
5,Non-employee user,ROLE_ALUMNI,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
6,Guest user,ROLE_GUEST,2026-05-11 16:09:30.889 +0500,2026-05-11 16:09:30.889 +0500
